RAGA,THAAT,TIME,AAROHA,AVAROHA,VADI,SAMVADI,PAKAD,JATI
Purva Kalyaan,Marva,5,"N,r,G,M,D,N,S'","S',N,D,P,M,G,r,G,r,S",1,2,N D P M G M D M G r S,Sampurna-Sampurna
Prabhat,Bhairav,1,"S,r,G,m,M,G,G,m,P,d,N,S'","S',N,d,P,m,m,d,M,m,G,r,G,M,G,r,S",2,1,G m d d P G m M d M m G m,Sampurna-Sampurna
Pradeepaki,Kafi,3,"S,G,m,P,N,S'","S',n,D,P,m,g,R,S",2,1,G m P g m g R S,Audav-Sampurna
Purba,Marva,4,"N,r,G,M,D,N,S'","S',N,D,P,M,G,r,G,r,S",1,2,N D P M G M D M G r S,Sampurna-Sampurna
Poorvi,Poorvi,4,"N,r,G,M,d,N,S'","S',N,d,P,M,G,m,r,G,M,G,r,S",3,6,P d P M G m r G M G r S,Shadav-Sampoorna
Rageshri,Khamaj,7,"n,S,G,M,D,n,S'","S',n,D,m,G,m,R,S",2,1,'D 'n S G m G m R S,Audav-Shadav
Ramkali,Bhairav,5,"S,r,G,m,P,G,m,d,N,S'","S',N,d,P,M,P,d,d,P,G,m,r,S",2,1,M P  d n d P G m R S G m P,Sampurna-Sampurna
Reva,Poorvi,5,"S,r,G,P,d,P,S'","S',d,P,G,r,S",1,2,S r g P d P G S r G r G,Audav-Audav
Ram Priya,Todi,2,"S,r,G,m,P,n,S'","S',n,P,m,G,m,g,r,S",2,1,P n P m G m g r g r S,Shadav-Shadav
Sarparda,Bilaval,8,"S,R,G,G,R,G,m,P,D,N,S'","S',N,D,P,D,n,D,P,m,G,R,G,R,S",1,2,D n D P m G R G R S,Sampurna-Sampurna
Saajgiro,Poorvi,5,"N,r,G,M,G,M,P,d,P,m,N,D,S'","S',N,r',N,d,P,P,D,G,M,D,G,M,G,r,S",3,6,m N D S' N r' N d P P D G M G r S,Sampurna-Sampurna
Samanthasarang,Khamaj,3,"S,R,m,P,N,S'","S',n,D,P,m,R,m,R,'N,S",5,2,R M P n D P m R,Audav-Audav
Shahana,Kafi,7,"R,n,S,g,m,P,n,D,n,P,m,P,n,P,S'","S',n,D,n,P,m,P,g,m,R,S",2,1,n D n P m P g m R S,Sampurna-Sampurna
Shankara,Bilaval,7,"S,G,P,N,D,S'","S',N,P,G,P,G,S",3,6,S 'N 'P 'N 'D S G P G R S,Audav-Shadav
Shree,Poorvi,4,"S,R,m,P,N,S'","S',N,r',N,d,M,d,M,G,r,S",6,2,r r P M P d M G r S M P N S' r' N d P,Audav-Sampurna
Shivabhairav,Bhairav,1,"S,r,S,G,m,P,d,d,S'","S',n,d,P,m,g,m,P,m,G,m,r,g,r,S",2,1,g m P d d' S' r' n d P d n d P m,Sampurna-Sampurna
Shuddha Kalyaan,Kalyaan,5,"S,R,G,P,D,S'","S,N,D,P,P,M,G,R,S",3,4,S 'D 'P 'D S R G P G P  R S,Audav-Sampurna
Shuddha Sarang,Kafi,3,"N,S,R,M,P,N,S'","S',N,D,P,M,P,m,R,N,S'",5,2,R M P R m R S' N 'P 'N 'D S 'N R S,Audav-Shadav
Shuklabilaval,Khamaj,1,"S,G,m,P,G,m,P,D,N,S'","S',n,D,P,D,M,G,R,S",2,1,m P D n G m G R S,Shadav-Sampoorna
Shyam Kalyaan,Kalyaan,5,"S,R,m,P,N,S'","S',N,D,P,M,P,G,m,R,S",5,2,R P G m R 'N S,Audav-Sampurna
Sindhura Chhaya,Kafi,8,"S,R,m,P,D,m,P,N,S'","S',R',n,D,P,m,G,m,P,g,R,S",2,1,m P D m P N S' R' n D P m G m P g R S,Audav-Sampurna
Sindura,Asavari,2,"S,R,m,P,D,S'","S',n,D,P,d,m,P,g,R,m,m,g,S,R,S",1,2,m P D S' n d P D m P D S',Audav-Sampurna
Shuddha Barari,Marva,5,"S,r,G,P,D,N,S'","S',N,D,P,G,r,S",2,1,G P D N D P P G r,Shadav-Shadav
Sohni,Marva,8,"S,G,M,D,N,S'","S',N,D,M,D,G,M,G,r,S",4,3,M D N S r' S S N D M D G,Audav-Shadav
Sourashtrabhairav,Bhairav,8,"S,'N,S,m,G,D,N,S","S,d,d,P,G,m,P,G,M,r,S",2,1,m D N S' S' N d m,Audav-Sampurna
Sugharayi,Kafi,5,"S,R,g,m,P,n,P,S'","S',n,D,n,P,m,P,g,m,R,S",2,1,S n D n n P m R S R g,Shadav-Sampoorna
Suha,Kafi,5,"n,S,g,m,P,n,m,P,S'","S',n,P,m,P,g,m,R,S",2,1,'n S g g m P g m R S,Audav-Shadav
Tilak Kamod,Khamaj,5,"S,R,m,P,N,S'","S',P,n,D,P,D,m,G,S,R,G,R,S",1,2,'P 'N S R G S R P m G R S P D m P S' P,Shadav-Sampoorna
Tilang,Khamaj,5,"S,G,m,P,N,S'","S',n,P,m,P,G,m,P,m,G,S",3,6,m P N S' n P G m G S,Audav-Audav
Todi abheri,Asavari,5,"S,R,G,m,P,d,P,D,n,S'","S',n,d,P,m,g,r,S",3,4,R m P d P g r g r S R G m P D n S' R' n d P m P g r g r S,Vakra
Triveni,Poorvi,1,"S,r,r,S,S,r,G,P,G,P,d,P,S'","S',N,d,P,P,G,r,r,S",1,2,S r P d P S' N d P G P G r,Audav-Shadav
Vasanth,Poorvi,8,"S,G,M,d,N,S',m,G,M,d,N,S'","S',N,d,P,M,G,M,G,r,S",1,2,M d r' S' N d P M G M G,Audav-Sampurna
Vasanthmukhari,Bhairav,1,"S,r,G,m,P,d,n,S'","S',N,D,P,m,G,R,S",2,1,P d n d P G m R S,Sampurna-Sampurna
Vibhas,Bhairav,1,"S,r,G,P,d,S'","S',d,P,G,r,S",3,6,G P d G P G r S,Audav-Audav
Vihang,Poorvi,5,"N,r,G,M,D,N,S'","r',N,D,P,M,G,r,G,m,G,r,S",3,6,G m r G m G G M D M G G r S,Sampurna-Sampurna
Uttari gunakali,Bhairav,1,"S,r,g,m,m,P,d,n,S'","S',n,d,P,d,m,P,g,g,m,r,S",1,2,d m P d m P g g m r S,Sampurna-Sampurna
Yaman (Kalyaan),Kalyaan,5,"N,r,G,M,D,N,S'","S',N,D,P,M,G,m,G,R,S",3,6,'N R G M P R G m G  R G R 'N R S,Shadav-Sampoorna
YamaniBilaval,Kalyaan,1,"S,R,G,P,D,N,S'","S',N,D,P,D,n,D,P,M,G,m,G,R,G,R,S",3,4,D n D P M G m G R,Shadav-Sampoorna
